Q8TBF5,Q8TBF4
Q8WW36,Q8N4L2
Q99932,Q13106
Q8NGF8,P16109
Q96MP8,Q15181
Q7Z2T5,Q9BR84
O15016,Q96KC9
Q96KG7,O60500
Q8NGK0,Q13075
Q9UKR5,P0DJJ0
Q01459,P31749
Q5TB30,Q8IVF7
P38159,O75037
P58304,Q6P9A2
O00409,Q8NHC6
Q13017,O75586
Q86SX6,Q9GZP9
Q5TBB1,P20963
Q8WWP7,Q9ULG6
Q9H706,P81277
Q765I0,P51786
Q9HAJ7,Q96T91
Q99626,P01100
A8MT70,Q9Y250
Q9UIW2,O75190
P24593,Q7RTS5
O75037,Q8TC44
A6NMK7,Q9UBY9
P35219,Q5JTV8
P41217,O00222
P17483,P25063
P59535,Q3LI73
P16083,Q01453
Q9H252,P08575
A0A577,P37840
Q3SY00,O00476
Q9UL18,Q8IV63
O14792,Q9Y3I0
O75208,O95049
Q9H254,Q00526
O15117,Q9BYD2
O43325,Q96N67
Q2M2Z5,O95279
P26651,O43903
O14793,O00472
P55290,Q9H5V8
Q58FG1,Q13415
Q9BWX5,Q8IYP2
Q5FWF4,Q96M86
Q9H0K6,P00519
F7VJQ1,P26012
P35680,Q9H172
P19367,Q6UWI2
O43678,O95644
P0C0E4,Q13635
Q8NHR7,Q9NST1
O43633,P26010
Q13401,O95238
Q9BU20,P08700
P12644,Q13395
P01210,Q9UN70
Q9NYK5,P06132
Q9UBC7,Q99856
Q03519,Q9H4B8
Q9H3M9,Q12907
Q9NRH1,O95394
P51582,Q08211
P54851,O75841
Q07954,P08514
Q13304,P05549
Q13018,O15539
O15409,P61925
P01042,Q92973
O43482,Q9NP90
P37023,Q8NBN7
Q6ZSZ6,P34925
P19338,O15537
O95477,P08493
Q693B1,Q99742
Q9Y3E5,Q9NYW2
Q9ULW2,Q8NFI4
Q8N3T6,Q6ZT12
Q6UW01,O00560
Q92581,Q96CT7
I0J062,Q8TD84
Q3SY84,Q96AY2
Q12846,P38606
Q9NZT2,Q6MZP7
Q05655,P08567
Q9P0U3,Q9BWS9
Q92831,Q8TBQ9
Q9P2G1,Q96JB1
Q86UG4,P01189
Q8IV04,Q70UQ0
Q8N4F0,P35218
Q8TBZ8,Q6YHK3
Q12931,P52926
Q9BRR9,Q8TDQ0
Q96HT8,Q9NRX2
Q96FZ5,Q15750
P53384,P50990
Q53H12,Q9UPE1
P52815,P26012
Q07837,Q9Y3D2
Q8N5G0,Q9HBL6
O00458,Q9H1B5
P07316,Q14749
Q9NQ87,Q96LB3
Q14563,Q9BRJ7
Q15018,P0DP57
P30536,Q03405
Q8WYB5,P54792
Q9H0E3,A6NLP5
P54803,P25054
Q96G30,Q8N961
Q07326,Q9UNA1
O75153,Q15928
Q9H251,P61020
Q92896,P20594
Q969U6,Q9NQS1
P12644,Q9HCE9
O15269,Q92519
Q14749,Q13283
Q8N158,Q9Y375
Q9Y663,Q8N2I9
Q8TBB6,P62244
Q8NI36,P56159
Q8NHV1,O00472
Q9UQ52,P40225
O95630,P78412
P40855,Q6NSJ0
Q8TAI7,P56597
P84243,P12644
Q8WW24,P32243
Q9NX47,O43896
Q16890,O75603
O94955,P09486
Q8TF74,O00220
Q9UNA1,Q5H9L2
P52735,P32242
Q9Y4G6,Q8IVU1
Q8IYU4,Q7Z7L1
O75716,Q86W25
Q02543,Q8NH50
Q9UL51,P0CAP2
Q56UN5,Q8IV36
Q99687,Q2I0M5
Q9UJ71,Q96KN9
Q5VYX0,Q6IMI6
Q9BXC1,O15354
Q6ZNE9,Q6ZSC3
P17676,P54793
Q9UHD4,Q9H0P0
Q9NX57,Q15785
Q15327,Q8IZQ1
O95825,O75937
O75607,Q16676
Q9UJK0,Q9NRN7
Q8NGV6,P51511
Q96MI6,O95994
Q96KQ7,Q09013
Q9BYF1,Q9H9Q2
Q9BV35,Q12798
Q92785,P35443
P29275,Q8WZ60
O95397,Q08431
P19827,Q13416
P61020,O15049
P01024,P11464
Q9ULJ7,Q05329
Q8WZ19,Q13002
Q9NUN7,Q9NP50
Q6BDI9,P46934
P35606,Q9NSY2
Q86XP0,Q9BWF3
P14222,P20963
P40425,Q9H444
Q86W28,Q96T51
Q8TDM5,P61026
Q14213,Q9BV19
G3V0H7,Q5R372
Q9BT17,P61966
O14494,P47874
Q9NWW9,Q5W0B7
Q9Y267,Q5T2W1
P56962,Q9H4D5
Q9UKP3,Q9H521
Q9BXC9,Q16572
A8MQ27,P10109
Q86VX2,P78396
P68402,Q8N387
Q8N3Y3,Q5SY80
A5LHX3,P48023
Q9NZC2,Q9UPZ6
A4D2B0,Q9P2N4
Q15797,P29558
O00501,Q9NR34
P42568,Q9UPE1
Q8TCT8,Q8NHH1
P12694,Q9Y5T4
Q7L8L6,Q9BV86
Q9H2Z4,P20807
Q9BXP2,Q7L592
Q96JC1,Q8TDX7
Q9HA82,Q96E40
Q9NZR1,O60234
Q8N6H7,A6NLW8
Q9BY78,O43156
O75352,Q99742
Q06787,O00408
Q9H8U3,P21796
Q8WXD5,Q9Y2Y6
Q14186,A0A0C4DH73
P42575,Q70YC4
Q8NGF0,Q7RTP0
Q9BZJ4,Q58HT5
P85298,Q5JR98
Q9UJ98,P05113
P82909,P51805
Q16099,Q1W4C9
Q7Z449,Q14500
Q8NA31,Q9P2V4
Q9BVC3,O96011
P60008,Q9H503
Q96HP8,P35613
P12004,O95238
Q9P286,P51956
O75396,P56597
P16152,O95817
D6RBQ6,A8MX76
P13611,P32245
Q9P1Z2,Q13887
Q96RD6,Q9H792
Q9Y2U2,Q92858
Q9NRZ7,O95405
Q96S53,Q9UMR2
P46019,Q9Y6N6
Q8NGL1,P09871
Q14416,P53778
Q96KP1,Q96GM8
Q9H257,Q16531
Q9NP80,Q9UBW5
P29558,Q3LHN2
Q6ZNB7,O60487
Q17RR3,O43555
Q5VZ66,P17948
Q6ZN79,P78330
Q05086,Q9BVJ7
A2A2Y4,Q8WVN8
O75503,Q32MQ0
P0CG21,O60942
Q99865,P29371
Q92187,Q8IUC4
Q96LR2,Q9P2X0
Q96BT3,Q8NHV9
Q9P2M7,Q9BTK6
Q9UIK4,O94886
P43487,Q86YS6
P24557,O15034
P78527,P49821
Q96RI9,P14866
Q9NP81,O75618
Q9UHN6,O75616
Q8NHX9,Q8IYE0
O95013,P25205
Q96CA5,Q86V20
Q05481,Q9Y6D6
P62310,Q8TAF3
Q7RTU7,P62487
Q92730,Q96NL6
Q9BZM3,Q9UJP4
Q8TE58,Q5T160
Q9Y345,O00180
P07942,O43439
O75618,O75093
Q96HP0,Q05639
Q9Y2B0,Q92859
P02808,Q02080
Q8N148,Q9GZK4
Q9BRT3,Q8IXQ5
Q13698,O60216
P29083,Q13371
Q5XKR4,Q6IMI6
Q9Y5Y0,P01037
O43861,Q5HYK7
Q92839,Q9UGI6
P15144,P59537
Q8NE65,Q9Y234
Q9BRQ0,P12829
Q9NUD9,Q96E52
Q9UMZ2,O95388
Q9H1X3,Q9BYD1
Q12980,O43736
Q8N4X5,Q15113
Q92793,Q9UQB3
Q9NUE0,P78333
Q9UL59,Q13162
Q92959,P0C025
Q9NUP1,Q9NS25
O43614,Q6N022
Q9NRR6,Q14894
P10914,O43164
Q99538,Q86UX7
O95267,Q9H9V4
Q9UK96,Q96QI5
Q8IYV9,Q16527
Q49A17,O94855
P22455,O95665
Q86UP6,O14796
Q53GI3,O00213
P22888,Q8WXK1
Q15942,Q14CZ7
Q13618,P0DJD8
P49675,P18545
P05783,Q5T1C6
Q9Y241,Q6UXZ0
Q8WYL5,P50747
O95206,Q5VZB9
P59535,A0A075B6S5
Q9NYB9,O00329
Q9Y345,Q9NYW1
P63129,Q9H1J1
P0DMP2,Q8WVM0
Q9NVP1,Q04206
Q96RD6,Q5VVW2
Q8NFR9,Q6P6C2
Q8N5G2,Q9UJV9
P05783,Q7Z2H8
Q8NDB6,Q9BUH6
P02654,Q6UXK2
Q8N488,Q9UHL4
Q9NUD9,Q9NZQ3
O15389,Q8IZQ1
Q96M95,Q9Y5Z7
Q13156,Q8TAM6
Q8WUY3,Q86Y33
Q9UNF0,Q96EQ0
Q99608,O95466
Q96J87,P13612
Q96PQ0,O15217
Q8WUU5,Q6PK04
O75419,Q86XR7
Q9P0J6,P48431
P09919,A1A519
Q9BXB5,P41439
Q3LI63,P23327
P0C6A0,P62136
Q96PG8,Q8N3S3
P33681,Q86YQ8
Q9NR33,Q9HAU8
O94919,Q02363
P01768,Q9H4E5
Q9BSU3,Q3ZAQ7
Q13442,Q4JDL3
Q7Z7F7,Q2M1K9
Q96BD0,O96033
Q9BZL1,O43570
Q9GZT9,Q9P0X4
O95832,Q9UHG2
Q6ZWT7,Q8IX04
Q8N5W9,O60928
Q92949,P13010
O75460,Q9BRF8
Q9NZ63,P16234
Q96RP8,P47974
P09017,Q92797
Q96M86,Q0VAQ4
Q9NST1,Q8IVY1
A6NLU0,P10915
Q5EE01,C9JRZ8
Q6ZQN5,Q8WW27
P27986,Q9HD40
Q6NTE8,Q02846
Q9BV86,Q93097
Q3T906,C9JLJ4
Q9UKQ9,B2RTY4
Q8N556,P84996
Q71RH2,Q8NFU3
P55017,Q495A1
Q6PEW1,O14904
Q9H1C3,P35442
Q9UPY6,Q13769
Q12986,Q9UQD0
Q5T5A8,Q8WUY9
A0A0B4J2F2,Q14197
Q9Y4F3,Q7Z6J6
Q9UIG8,Q14197
Q8N485,Q9UBP4
H0YL14,P09884
O75556,Q00403
Q70CQ4,Q8IVS2
Q68CZ6,Q8TBZ6
Q6NT89,Q92871
Q2M2I3,Q8TEZ7
P49005,P04424
Q9UQC2,Q6ZVE7
Q92523,Q13952
Q9Y5B8,P51451
Q8NHV4,Q7RTT6
P58005,Q00872
Q15424,P56202
P05543,P13984
Q969M7,Q8NBX0
P29558,A5D8V6
Q15047,O60313
P54259,Q9NUJ3
Q11206,Q00266
Q9P2J5,Q96NW4
Q96FZ5,Q15349
Q9UPY3,Q96NE9
Q05BV3,A6NF01
P56470,Q9UM11
P20036,Q13029
Q8TC71,P51808
A6NI28,A0AVK6
Q9Y5Q6,Q6P6C2
O95749,Q14807
Q9NQZ2,Q16695
Q9HD20,P57058
Q8WV07,Q9Y6K9
Q14315,A6ND01
O15488,Q8IX95
Q9UBY5,Q9NX63
Q8TAU0,P31249
Q13509,Q9UGI0
Q5W0Z9,Q9Y2I1
Q711Q0,Q02833
P10412,Q9BTV6
P09629,Q8TCY9
Q5H9L4,Q8TER0
P31371,Q9C0E2
Q96FI4,Q8TEX9
Q53EL6,Q2M2I8
Q8TED4,P46439
P46926,Q8N5L8
Q8TDB4,P62955
P20151,P20827
Q96AY2,A4D1T9
Q86TB9,Q8N357
O15440,Q9Y446
P36542,Q8IVV7
P68363,Q6P1Q9
P0DML2,Q13753
A2VDJ0,Q8TD23
P01824,P02818
Q9UQ88,Q9HBX9
Q9Y478,Q13310
Q5JT25,Q6P1S2
Q8NFJ8,Q04656
Q76EJ3,Q13564
Q9NQX7,Q96SW2
Q92793,Q9P2K2
Q9H4I8,Q15818
Q9Y4K3,Q15784
Q13724,Q9BQ95
Q14865,Q16650
Q8IY57,Q9BXI3
Q8NFH3,P08183
Q5JT25,O00626
Q6WRX3,P51589
Q86SX6,Q8WUX9
Q8TB36,P08581
P32856,Q5T655
P31944,P54296
Q5MJ70,Q8IVH8
Q6J4K2,P28324
Q9UM63,Q9BZM2
P49137,Q9BRQ6
A1L3X4,Q92817
P40259,Q5VTR2
P58397,Q96C45
Q8NAA4,Q9BVW5
Q9BYQ7,Q9Y6Y8
Q9H869,O60513
P07199,P09758
Q9BY10,Q9H3R5
P58499,Q96M63
Q14562,P19784
Q9UHJ3,Q68D51
Q9H444,Q86XH1
Q53S99,Q8NHC8
Q8TAU3,Q8IUC8
Q8NG08,P31321
Q96DB5,Q8IZS6
Q99835,Q96C19
O14904,A6NDS4
Q6PIU1,Q5VWM4
O75081,Q96CT7
O75689,Q5THR3
Q6ZTQ4,O15042
Q9Y6E2,O60234
Q9NP66,P10768
Q9Y679,Q8N729
Q2NL67,Q9NP99
Q9UK23,P14618
O60783,O95096
Q96RD2,P49685
O14493,Q6EIG7
Q5VSG8,P46783
Q86U70,Q92572
Q8NEX9,P10635
Q8WWX0,O00338
Q96JA4,Q53F39
Q6F5E8,Q96Q40
Q99453,P34130
P84243,Q6AZY7
Q53T59,Q9Y3R4
A6NFC9,P60509
O95741,Q16595
Q9UL01,Q99801
Q6ZN92,Q9BXS5
P48426,P56545
Q9NP55,P16066
P17050,Q9BV20
Q9BZL6,Q9ULZ9
Q9H2D1,P04181
Q9Y6W8,Q3C1V0
Q99558,A8MTJ6
P61236,Q6V702
P56645,Q2M3X9
P09848,Q9GZM6
O43325,Q8IXH7
Q6TDP4,Q14681
Q13886,Q9BTE1
Q9H3C7,P69849
O95685,O15405
P51993,Q8IVV2
Q01780,Q96ST8
P11150,Q6WCQ1
P11464,Q9Y5X9
Q9Y2R2,O75608
P07737,Q8N142
P06744,A6NHX0
Q9NRP0,P02549
Q96IZ7,P28324
O43143,O43684
Q6ZT21,Q14184
P08620,Q9H714
Q99856,P21757
Q9NQE9,Q9Y6Z7
P48147,Q9BZQ8
P28068,Q9Y5X1
P78426,Q9Y448
P23759,Q96S90
Q02556,Q96RP3
Q86T24,Q9Y6U7
P47224,Q9UH73
Q9NWU1,P22626
P04745,Q9BY77
Q15042,Q9Y3A4
O60266,P47992
Q5TB30,Q8TDF5
O75969,O60763
P04040,Q8NG41
Q969S0,Q12830
O14777,Q9UL03
Q08209,Q8N6Y1
Q9P0X4,Q96PH6
Q96AB3,Q13586
Q14244,O60299
Q16819,Q3LI76
Q6GMV2,Q13075
Q9UC07,O00291
P0DMP2,P19875
Q8TC41,Q5T3F8
P31371,Q8WWQ2
P51815,A6NKF2
P49798,Q8WWF8
A0A0B4J248,Q9H172
A6NE82,P61803
P48645,Q9Y343
Q6UWJ8,O75923
Q13151,Q8NGR2
O95342,Q9GZQ3
O95758,Q7Z4W3
Q68CQ4,Q11201
A0PJW8,Q6RSH7
Q01538,Q6PIW4
O00634,Q14512
P33261,P49721
P52907,Q99643
A0A599,P07954
Q13247,O00462
P25789,P47929
Q9HBW0,Q9H3H5
Q8WXE9,Q9H3T2
Q86UE8,Q9H9Y6
Q03701,Q7Z444
P03897,Q13761
Q9ULT0,Q9BYT5
P40429,O00186
P78314,P17480
P51878,Q9Y2X7
Q9UHD0,Q8N5D0
A8MU46,Q9H6S1
P53667,O95997
Q9H4K1,P46734
O15105,Q9UQ13
A6NJ46,Q13619
Q8TCT7,P49662
Q99714,Q99973
Q8NAF0,Q15365
O94991,Q9P2Q2
Q96IZ6,Q8TB73
P33241,Q9NQQ7
Q969V1,Q96DN6
Q9BPX5,A1A4F0
Q8TB72,Q92900
Q9NUE0,Q9ULW6
P01116,Q9Y3B6
Q9UQB9,Q9Y2I7
Q7L5Y9,Q99469
Q9HBU9,Q7Z6M3
P27635,Q8TAQ2
A9YTQ3,A8K0Z3
O60443,P49720
Q8N680,P80217
Q8N5Z0,O95868
O60641,O15357
Q8N584,P04003
Q7Z5A9,Q9UHB6
P32455,Q01196
Q9HD33,Q9BQI4
Q8IZQ5,P20827
Q16584,Q9BXY4
P06241,O00472
P51810,P12018
Q6GPH4,Q8WUM4
O00501,P38405
Q9ULJ8,Q6ZMJ4
B2RN74,E2RYF6
Q86UL3,Q2NL67
Q8N6D2,Q86X95
Q9NZ63,P07202
Q08378,Q9NYR9
Q96NZ8,Q9Y3B9
Q9Y5A6,P04628
Q8NGC6,O75449
Q92994,Q9UBT7
Q8IWT3,Q16739
Q96I15,Q8NG99
Q9UG56,P17931
Q969X1,Q8TE99
P31641,Q8IWU5
Q14494,O75469
Q9Y2A7,Q9Y221
Q2QGD7,Q9NS56
O43598,Q9Y6B2
O95866,F8WBI6
Q8TF32,O15504
Q53HC0,A8MXV4
Q96C01,P42126
Q01954,Q9P2Q2
Q8TDG4,Q8IUZ0
Q96K80,Q00653
Q7Z6J0,P08069
P17181,Q9BUF7
O43820,Q9UKQ2
P80511,C9JPN9
Q8IWU2,Q99457
Q9UPW6,Q86WB0
Q15759,Q9UFH2
P55854,Q14160
Q8N6H7,Q5XKL5
P02679,Q96II8
P43490,Q9Y6D0
Q9HAS3,Q9UNP4
Q8NDA2,P0DOY5
Q6ZVK8,Q9P0G3
P54922,Q9BYZ6
Q8N0X7,P0DP57
Q9UKD1,Q7Z3E5
Q9P0K7,Q8IW45
A6NGG8,Q96DG6
Q9BZV3,O75311
P35318,O95150
Q14833,Q9P2H5
Q92935,Q8IUG5
P28074,Q92530
P62277,P00966
H0YKK7,Q6NUK1
O43320,Q6NUK1
B9A6J9,Q8TEK3
P04792,Q86X29
Q8WZ94,P55916
P60006,Q96AG3
Q8N1K5,Q8N531
Q9UJT9,Q9HCL3
Q86TB9,Q9Y4W2
Q9NZA1,A3KFT3
Q6ZNB6,Q8TE12
O60811,Q96Q05
Q8TBN0,Q9ULL0
Q7RTS3,P62913
Q3MIS6,Q99542
P01100,Q9HCK8
P63126,Q9NP90
Q8NGH8,Q53GA4
A8MXV4,P22748
P56556,P05109
Q8NBV4,Q7Z4W3
Q86TB9,Q96SZ6
Q9NSK7,Q16555
Q7Z4P5,Q12830
Q8N9T8,P98171
P62945,P17097
Q9C0J8,P61011
P48145,O75899
O00268,Q6GYQ0
Q96DN2,Q8TDS4
Q9H254,Q9BRL7
P51991,P46939
Q9HD20,P54753
A0A0J9YX35,Q9UPZ9
P05113,P01599
Q9NY74,O14545
Q8NHH1,P10720
Q86YM7,Q6IFG1
Q96L50,Q9UL54
Q9H8X9,P50990
P22301,O43490
Q9NPG2,O14880
A0A075B6K4,P02771
Q86T96,P0C645
P14653,Q6YHK3
P17481,Q9BV36
P16885,Q13506
Q8TC29,P21741
P32297,Q6NUT2
Q6UXG8,P54762
Q8NCV1,P53539
Q14956,Q6ZMN7
Q9NQ94,Q9Y572
Q8NCG7,Q330K2
Q8WWW8,Q03518
P16383,P04843
Q8N307,O60513
Q8NFW5,Q7RTS7
Q12906,P10645
P04435,Q6P1Q9
P55039,Q9HCE0
P02768,Q93097
P28676,Q8N257
O43747,P22492
Q96QC0,Q9NTX5
Q8TAI7,Q96AC6
Q8NHV9,P10253
P28331,Q8N1N0
Q8NH95,Q8NGE9
Q5VWM4,P08567
O60285,Q5TA78
O43283,Q16651
Q8TBZ2,P41247
O94769,O60882
P49798,Q9Y4G8
P16035,Q92982
P02652,Q9NQS3
Q9Y6U3,O43543
Q9H4A9,Q86UD4
Q8N339,P30968
P31942,Q86SQ7
Q8IZY2,Q9H0L4
Q9HBR0,Q9NR31
Q8IWV2,Q9H902
Q2M2H8,Q8IZK6
Q9UHK6,Q68D10
O00712,Q8NGS0
Q9P2N5,P20472
Q86YL5,Q6P2P2
P10242,P82979
Q99418,Q9HCZ1
Q9BWP8,Q4G0N4
P00480,Q6P4F1
Q9UPP2,Q8NGV6
Q9BRR3,P09131
Q9P270,P49069
Q6ZMW2,Q9HC23
Q13637,Q5T2Q4
Q5T1M5,Q4VNC0
Q6UXT9,Q8WVL7
Q86SX6,Q6P587
A6NFN3,A0A0B4J244
P16615,Q70J99
Q9ULE3,Q6UXZ4
Q9BXT8,A2IDD5
O75578,Q13075
P61575,P12111
Q96B26,Q58F21
Q6IMI4,Q9P2W1
P01282,Q6UXZ3
P35680,Q14194
Q5TD97,I0J062
Q8NH05,O75129
O15240,Q96BH3
Q9H8G2,P52952
Q13643,Q9H857
P22314,Q96CP6
P52895,Q8WTX9
Q9BXT8,O75953
P29350,Q8IZM9
Q9Y5E9,Q9Y6K8
Q8NGJ7,Q8NGN5
Q6IF99,Q9Y4R7
Q96GY3,Q06203
Q9H668,Q9P267
Q7L945,Q96KP1
Q7Z3D6,Q99447
P16885,Q04741
P61581,P09382
Q7L2H7,Q9NVH6
Q96A47,O14990
Q9BQ83,P24390
P54829,P42658
Q86X24,Q9H3S7
O75208,A6NNV3
P31271,Q71F56
Q9BZS1,Q7Z478
Q96NA2,Q16612
Q14207,Q9UK39
Q7Z443,Q93038
Q9UGI0,Q6E0U4
Q9BRD0,O95568
O75935,O75445
Q9ULE3,Q0IIM8
P78382,Q7LFX5
Q9NPH0,A0A0C4DH36
Q96CS3,P08670
Q8WUG5,Q96RD6
P46459,Q9Y680
Q7Z3E1,O95782
Q13144,Q16048
Q9UGF6,P35611
P58335,P38606
Q9HCU8,Q12849
Q6NVY1,Q9Y676
Q5VWQ8,Q9NQ34
P0CF74,Q86Y34
Q96CV9,Q05586
Q8TA86,P25205
P10114,Q92886
P14652,P0DMW2
Q9P0M4,Q9NV92
Q96DF8,Q13651
Q6ZW61,Q9H074
O00178,Q9Y4A8
Q9P212,Q9UJH8
Q2M3X9,Q9H8Y5
Q9P0N8,A1A5D9
Q6NXP6,Q93050
Q12972,Q16572
Q13835,Q9UC06
Q9UJ72,Q9UBR5
P11021,P47872
Q9UN75,O95817
P55001,Q8IZJ3
Q9NQ84,Q13585
O43818,P07954
Q9BU40,P07320
Q96HP0,Q86UV5
Q9BUR4,Q9UBD5
Q15386,Q8IZP7
P21291,P61587
P22894,P28908
Q3B7I2,P03973
O14836,Q149N8
Q9BZQ8,O60493
Q96M96,Q5VUB5
Q04864,Q7Z4H8
A5LHX3,P26599
Q00765,P17026
A1A5D9,Q9UQV4
Q9Y519,Q8IZV5
P29459,Q9UIQ6
Q9Y4R8,Q9Y3R5
Q7Z6J0,P19544
Q86UE8,Q8IX18
P11801,Q8WXS8
Q96EX1,Q8WTR4
Q8WVM7,Q8IX94
Q9NYD6,Q5VWI1
Q13555,P47712
O43164,Q8NGC2
Q9HCN8,Q86VH4
Q14185,P42229
P42566,P23526
Q96K83,Q9NRS6
Q5JTH9,O75526
Q6UW49,O95810
O60237,Q86XE3
P31415,Q9NRW1
P02765,Q86Y78
Q9BWT3,Q8NH09
M0QZC1,Q8NH05
O75618,Q92925
Q3SXZ3,Q9Y252
Q14831,C9JCN9
Q8WXD2,P56180
Q96JX3,Q9UPW0
Q9NUL3,Q96GS4
Q15345,A6NMX2
Q9HCI6,O75444
P98088,O15519
P59047,Q02045
Q6Q0C0,Q6PDA7
Q9UM44,P57730
Q9BYD6,Q15084
O95487,P15848
Q9NRH3,Q06136
Q15274,Q9BUB5
O95359,P17480
D6R901,Q8TF65
Q96JP5,Q9HCS4
A7MBM2,P10398
Q01064,Q6R6M4
Q8WWC4,O14777
Q9P0V8,Q4LDG9
P80365,P26368
Q9H4A5,P50443
Q7Z6B7,Q9BTA9
P08134,Q9BQ31
Q9UGT4,Q13740
Q8NEF9,P43234
P62316,O43490
P13378,Q9Y312
Q5HY98,Q9Y586
Q96DB2,Q8N465
O00562,P06028
Q9BR09,Q8NGY1
P10075,P69849
Q08J23,Q92925
Q92837,P08263
Q8NGE5,P40189
Q9UKJ8,P54277
Q99969,P32243
Q15238,P17787
Q9BXJ9,O14830
Q7Z6J4,Q9Y6I0
O95336,Q9BWS9
P34896,Q9BRU9
Q96GZ6,Q9Y6H3
Q02575,Q14654
Q6P5Q4,Q6ZQY3
Q8TED4,Q8NG27
Q9Y226,P86791
O00451,A8MTJ6
Q9NWS0,Q9UBX5
O14746,P35998
P53794,Q86WT1
Q6ZTI6,Q5H8A3
P13807,Q03135
P01588,P25103
Q30201,Q96NL3
C9J798,Q9H7Z7
Q15776,Q8WWI1
P03971,A8K5M9
Q6UW02,P0C7M8
Q9Y236,Q99707
O75427,P14060
Q9NPF2,Q92854
Q9UK80,Q9NPC4
Q15436,Q9HD20
P83731,Q14432
P22694,Q86W33
Q96HR9,Q17RY6
Q76I76,Q9H488
Q8N5F7,Q9Y2Q1
Q8NFU1,Q9UBW8
P40937,Q96QV6
Q12788,Q00325
Q13508,P0C851
P02489,P02771
